method,season,accuracy,total,over,under
e,2007,75.0,44,4,7
m,2007,73.913,23,5,1
p,2007,75.0,44,8,3
e,2008,78.5714,42,5,4
m,2008,75.0,20,4,1
p,2008,71.4286,42,6,6
e,2009,64.7059,34,4,8
m,2009,63.1579,19,5,2
p,2009,70.5882,34,4,6
e,2010,65.3061,49,7,10
m,2010,66.6667,27,5,4
p,2010,67.3469,49,3,13
e,2011,70.2128,47,5,9
m,2011,86.9565,23,2,1
p,2011,63.8298,47,7,10
e,2012,67.3913,46,6,9
m,2012,57.6923,26,7,4
p,2012,71.7391,46,6,7
e,2013,65.9574,47,3,13
m,2013,70.8333,24,5,2
p,2013,57.4468,47,7,13
e,2014,52.8302,53,7,18
m,2014,59.2593,27,6,5
p,2014,66.0377,53,5,13
e,2015,62.5,48,7,11
m,2015,70.0,20,4,2
p,2015,58.3333,48,9,11
e,2016,71.7391,46,2,11
m,2016,86.3636,22,3,0
p,2016,65.2174,46,5,11
e,2017,63.8298,47,5,12
m,2017,66.6667,27,4,5
p,2017,63.8298,47,4,13
e,2018,70.8333,48,5,9
m,2018,65.3846,26,2,7
p,2018,68.75,48,5,10
e,2019,83.7209,43,1,6
m,2019,84.8485,33,2,3
p,2019,72.093,43,2,10
e,2020,74.2857,35,3,6
m,2020,71.4286,28,3,5
p,2020,74.2857,35,4,5
e,2021,67.5,40,6,7
m,2021,60.0,40,9,7
p,2021,55.0,40,5,13
e,2022,58.8235,51,4,17
m,2022,66.6667,51,10,7
p,2022,52.9412,51,7,17
e,2023,70.5882,34,2,8
m,2023,64.7059,34,4,8
p,2023,88.2353,34,2,2
