method,seasons,accuracy,total,over,under
e,80 - 84,54.2254,142,27,38
m,80 - 84,58.4507,142,20,39
e,85 - 89,60.479,167,24,42
m,85 - 89,58.0838,167,28,42
e,90 - 94,64.4444,225,25,55
m,90 - 94,57.7778,225,33,62
e,95 - 99,68.8073,218,23,45
m,95 - 99,61.9266,218,32,51
e,00 - 04,61.7925,212,31,50
m,00 - 04,61.7925,212,31,50
e,05 - 09,68.9655,203,24,39
m,05 - 09,68.9655,203,33,30
e,10 - 14,64.0496,242,28,59
m,10 - 14,65.2893,242,28,56
e,15 - 19,70.2586,232,20,49
m,15 - 19,65.5172,232,25,55
e,20 - 24,66.875,160,15,38
m,20 - 24,65.625,160,18,37
