method,week,accuracy,total,over,under
e,1,73.3668,995,106,159
m,1,75.3577,629,69,86
e,2,73.9859,1849,194,287
m,2,79.2319,703,87,59
e,3,73.4888,2101,190,367
m,3,73.2262,747,95,105
e,4,73.1754,2110,228,338
m,4,76.38,779,100,84
e,5,70.786,2201,259,384
m,5,71.7224,778,128,92
e,6,70.0851,2233,259,409
m,6,73.3596,762,96,107
e,7,72.4832,2235,228,387
m,7,68.7259,777,129,114
e,8,72.8309,2282,243,377
m,8,73.3333,795,122,90
e,9,71.7032,2237,221,412
m,9,72.25,800,131,91
e,10,72.0779,2310,218,427
m,10,73.9184,809,119,92
e,11,73.2558,2322,238,383
m,11,73.9892,742,113,80
e,12,72.6206,2301,228,402
m,12,74.8571,700,106,70
e,13,72.5416,2105,201,377
m,13,73.4525,727,107,86
e,14,71.2745,1020,127,166
m,14,71.3805,297,53,32
e,15,73.6842,285,28,47
m,15,70.2128,47,8,6
e,16,70.4545,44,5,8
m,16,81.8182,11,0,2
e,17,0,0,0,0
m,17,0,0,0,0
e,18,0,0,0,0
m,18,0,0,0,0
