,RankDiff,games,wins,WinPct,P-Value,Real RankDiff
0,-12,5,2,0.4,0.5,-25--24
1,-11,18,6,0.3333333333333333,0.1189422607421875,-23--22
2,-10,33,12,0.36363636363636365,0.08137782872654498,-21--20
3,-9,46,15,0.32608695652173914,0.012948040896617385,-19--18
4,-8,92,40,0.43478260869565216,0.12566105173742717,-17--16
5,-7,93,52,0.5591397849462365,0.14986584844851503,-15--14
6,-6,135,73,0.5407407407407407,0.19475131448807015,-13--12
7,-5,152,81,0.5328947368421053,0.23275449913384672,-11--10
8,-4,230,124,0.5391304347826087,0.13113351455209477,-9--8
9,-3,232,144,0.6206896551724138,0.0001434408197256154,-7--6
10,-2,262,163,0.6221374045801527,4.613947642539973e-05,-5--4
11,-1,303,193,0.636963696369637,1.0739456497432798e-06,-3--2
12,0,165,122,0.7393939393939394,2.963551626322669e-10,-1-0
13,1,316,222,0.7025316455696202,2.169375790117556e-13,1-2
14,2,279,205,0.7347670250896058,1.1102230246251565e-15,3-4
15,3,270,195,0.7222222222222222,8.781864124784988e-14,5-6
16,4,216,164,0.7592592592592593,5.218048215738236e-15,7-8
17,5,190,162,0.8526315789473684,0.0,9-10
18,6,144,108,0.75,7.478794250559417e-10,11-12
19,7,113,87,0.7699115044247787,3.5585849822439286e-09,13-14
20,8,96,82,0.8541666666666666,3.6215475063272606e-13,15-16
21,9,66,53,0.803030303030303,3.618587618436919e-07,17-18
22,10,42,35,0.8333333333333334,7.548600478912704e-06,19-20
23,11,29,28,0.9655172413793104,5.587935447692871e-08,21-22
24,12,12,11,0.9166666666666666,0.003173828125,23-24
