,0
0,St. Mary's
1,Marquette
2,Marquette
3,Santa Clara
4,St. Mary's
5,Marquette
6,Santa Clara
7,Marquette
8,Santa Clara
9,Marquette
10,Santa Clara
11,Santa Clara
12,Marquette
13,Santa Clara
14,Marquette
15,Santa Clara
16,Santa Clara
17,Detroit
18,Santa Clara
19,Detroit
20,Santa Clara
21,Santa Clara
22,Santa Clara
23,Santa Clara
24,Santa Clara
25,Carnegie Mellon
26,Santa Clara
27,Carnegie Mellon
28,Santa Clara
29,Carnegie Mellon
30,Carnegie Mellon
31,Santa Clara
32,Carnegie Mellon
33,Santa Clara
34,Carnegie Mellon
35,Santa Clara
36,Carnegie Mellon
37,Santa Clara
38,Carnegie Mellon
39,Carnegie Mellon
40,St. Mary's
41,New York
42,Carnegie Mellon
43,St. Mary's
44,New York
45,Santa Clara
46,New York
47,Santa Clara
48,New York
49,Santa Clara
50,Santa Clara
51,Santa Clara
52,Santa Clara
53,Detroit
54,Santa Clara
55,Santa Clara
56,Detroit
57,Santa Clara
58,Santa Clara
59,Santa Clara
60,Hardin-Simmons
61,Santa Clara
62,Hardin-Simmons
63,Santa Clara
64,Santa Clara
65,Santa Clara
66,Santa Clara
67,Santa Clara
68,Santa Clara
69,Santa Clara
70,Hardin-Simmons
71,Williams
72,Santa Clara
73,Santa Clara
74,Hardin-Simmons
75,Williams
76,Santa Clara
77,Hardin-Simmons
78,Santa Clara
79,Iowa Pre-Flight
80,Southwestern
81,Great Lakes Naval
82,Memphis Naval
83,Del Monte Pre-Flight
84,March Field/4th AF
85,Pacific
86,Iowa Pre-Flight
87,Pacific
88,Del Monte Pre-Flight
89,March Field/4th AF
90,Great Lakes Naval
91,Memphis Naval
92,Southwestern
93,Pacific
94,Iowa Pre-Flight
95,Southwestern
96,March Field/4th AF
97,Del Monte Pre-Flight
98,Colorado College
99,Memphis Naval
100,Camp Grant
101,Great Lakes Naval
102,Iowa Pre-Flight
103,Pacific
104,Louisiana
105,Colorado College
106,Del Monte Pre-Flight
107,Great Lakes Naval
108,Southwestern
109,March Field/4th AF
110,Memphis Naval
111,Camp Grant
112,Iowa Pre-Flight
113,Pacific
114,Del Monte Pre-Flight
115,Louisiana
116,Colorado College
117,Arkansas-Monticello
118,Great Lakes Naval
119,Iowa Pre-Flight
120,Pacific
121,Del Monte Pre-Flight
122,March Field/4th AF
123,San Diego Naval
124,Louisiana
125,Arkansas-Monticello
126,Colorado College
127,Iowa Pre-Flight
128,March Field/4th AF
129,Pacific
130,Del Monte Pre-Flight
131,San Diego Naval
132,Bainbridge Naval
133,Iowa Pre-Flight
134,March Field/4th AF
135,Del Monte Pre-Flight
136,Bainbridge Naval
137,Colorado College
138,Randolph Field
139,Pacific
140,San Diego Naval
141,Iowa Pre-Flight
142,Great Lakes Naval
143,Del Monte Pre-Flight
144,March Field/4th AF
145,Bainbridge Naval
146,Colorado College
147,Pacific
148,Randolph Field
149,North Carolina Pre-Flight
150,Randolph Field
151,Great Lakes Naval
152,Iowa Pre-Flight
153,2nd Air Force
154,Bainbridge Naval
155,Randolph Field
156,Iowa Pre-Flight
157,Great Lakes Naval
158,North Carolina Pre-Flight
159,March Field/4th AF
160,Bainbridge Naval
161,2nd Air Force
162,Randolph Field
163,Iowa Pre-Flight
164,North Carolina Pre-Flight
165,March Field/4th AF
166,Bainbridge Naval
167,2nd Air Force
168,Great Lakes Naval
169,3rd Air Force
170,Randolph Field
171,Iowa Pre-Flight
172,North Carolina Pre-Flight
173,March Field/4th AF
174,Bainbridge Naval
175,Great Lakes Naval
176,2nd Air Force
177,3rd Air Force
178,Randolph Field
179,Bainbridge Naval
180,Iowa Pre-Flight
181,March Field/4th AF
182,Great Lakes Naval
183,Norman Pre-Flight
184,North Carolina Pre-Flight
185,El Toro Marines
186,Randolph Field
187,Bainbridge Naval
188,Iowa Pre-Flight
189,March Field/4th AF
190,Great Lakes Naval
191,El Toro Marines
192,Norman Pre-Flight
193,North Carolina Pre-Flight
194,Randolph Field
195,Bainbridge Naval
196,Iowa Pre-Flight
197,March Field/4th AF
198,Great Lakes Naval
199,Camp Peary
200,El Toro Marines
201,Norman Pre-Flight
202,2nd Air Force
203,North Carolina Pre-Flight
204,Randolph Field
205,Bainbridge Naval
206,Iowa Pre-Flight
207,Great Lakes Naval
208,Norman Pre-Flight
209,March Field/4th AF
210,Camp Peary
211,El Toro Marines
212,2nd Air Force
213,North Carolina Pre-Flight
214,Randolph Field
215,Bainbridge Naval
216,Iowa Pre-Flight
217,March Field/4th AF
218,Norman Pre-Flight
219,El Toro Marines
220,Great Lakes Naval
221,Fort Pierce Naval
222,St. Mary's Pre-Flight
223,2nd Air Force
224,Camp Peary
225,St. Mary's
226,St. Mary's
227,St. Mary's
228,St. Mary's
229,St. Mary's
230,St. Mary's
231,St. Mary's
232,St. Mary's
233,St. Mary's
234,St. Mary's
235,St. Mary's
236,Muhlenberg
237,Muhlenberg
238,St. Norbert
239,San Francisco
240,San Francisco
241,Catawba
242,Catawba
243,Boston
244,Boston
245,Pacific
246,Santa Clara
247,Santa Clara
248,Boston
249,Pacific
250,Pacific
251,Santa Clara
252,Pacific
253,Santa Clara
254,Pacific
255,Santa Clara
256,Washington & Lee
257,Loyola Marymount
258,Washington & Lee
259,Loyola Marymount
260,Pacific
261,Pacific
262,San Francisco
263,Pacific
264,San Francisco
265,San Francisco
266,Pacific
267,San Francisco
268,Pacific
269,San Francisco
270,San Francisco
271,San Francisco
272,Boston
273,San Francisco
274,Boston
275,George Washington
276,George Washington
277,George Washington
278,George Washington
279,George Washington
280,George Washington
281,George Washington
282,George Washington
283,George Washington
284,George Washington
285,Louisiana
286,Louisiana
287,Louisiana
288,Louisiana
289,Louisiana
290,Louisiana
291,Louisiana
292,Louisiana
293,Louisiana
294,Louisiana
295,Louisiana
296,Louisiana
297,Louisiana
298,Louisiana
299,Louisiana
300,Louisiana
301,Louisiana
302,Louisiana
303,Louisiana
304,Louisiana
